LigandID,Score,SMILES,OnBits
1040,-4.1,[O-][N+](CCc1c2c([nH]c1)cccc2)(C)C,"33,64,80,90,119,175,219,237,246,287,325,328,333,349,356,364,414,427,476,549,583,628,715,726,759,806,849,855,913"
900,-3.6,C[N+@@H]1[C@@H](C)[C@H](c2ccccc2)OCC1,"91,140,147,457,807,844"
7241,41.4,O([C@@H]1[C@H](O)[C@H](O)[C@@H](O)[C@@H](C)O1)[C@@H]1C[C@]2(O)[C@@](CO)([C@@H]3[C@@H]([C@]4(O)[C@@](C)([C@H](C5=CC(=O)OC5)CC4)CC3)CC2)CC1,"13,33,36,57,67,73,80,84,98,109,119,130,138,222,233,245,250,263,285,299,301,313,314,324,336,356,357,389,412,426,441,449,463,489,492,493,519,529,550,555,574,609,650,656,679,682,695,699,722,772,776,805,807,811,817,849,857,869,897,920,926,928,1008,1019"
1830,-4.4,O=C(OC[C@@H](CCCC)CC)c1c(O)cccc1,"1,33,64,80,118,145,147,175,187,190,194,205,294,304,356,396,423,439,520,578,583,591,649,650,695,726,727,739,746,794,807,849,887,893,967"
6194,52.5,O=C([O-])[C@@]1(C)[C@@H](O)CC[C@]2(C)[C@@H]1CC[C@]1(C)[C@@]3(C)[C@@H]([C@@]4(C)[C@H]([C@H](C(=C)C)CC4)CC3)CC[C@@H]21,"33,36,89,138,175,202,209,220,221,233,250,267,287,294,301,310,342,367,391,412,453,478,519,527,529,555,632,650,708,715,760,788,807,848,853,864,889,893,926,927,1017,1019,1022"
4108,7.9,Clc1c(S(=O)(=O)N)cc(C(=O)Nc2c(C)cccc2C)c([O-])c1,"15,33,52,64,128,147,170,176,271,283,342,350,356,366,367,378,381,392,414,452,461,486,561,568,580,583,650,659,691,698,715,726,792,807,833,847,849,875,893,967,975"
2560,-1.2,O=C(O[C@]1([C@H](CC=C)C[N+@H](C)CC1)c1ccccc1)CC,"91,140,147,457,807,844"
3219,-4.2,O=[N+](OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-])[O-],"80,114,478,487,616,650,692,695,715,753,792,807,838,905,931,939"
3100,11.3,[C@H](n1cncc1)(c1ccc(-c2ccccc2)cc1)c1ccccc1,"1,64,77,102,136,175,262,297,341,356,378,389,461,469,540,557,579,630,726,736,799,829,842,843,849,896,932,935,940"
2296,-0.8,O=C(O[C@@]1([C@@H](C)C[N+@H](C)CCC1)c1ccccc1)CC,"91,140,147,457,807,844"
8600,110.8,O=C([O-])[C@@H]1[C@H](O[C@H]2[C@@H](O)[C@@H](O)[C@@H](CO)O2)[C@@H](O)[C@H](O)[C@@H](O[C@@H]2C(C)(C)[C@@H]3[C@@](C)([C@H]4[C@](C)([C@@]5(C)C([C@H]6[C@@](C(=O)O[C@H]7[C@@H](O)[C@H](O)[C@H](O)[C@H](CO)O7)(CC5)CCC(C)(C)C6)=CC4)CC3)CC2)O1,"13,22,33,36,53,80,86,102,138,155,156,190,202,210,222,233,240,248,249,250,265,267,271,280,299,301,308,332,356,357,409,412,418,453,463,478,489,492,549,555,576,598,600,610,636,650,656,679,695,715,729,740,757,781,807,820,833,849,857,869,889,893,897,904,926,927,938,939,953,960,981,998,1010,1019,1020"
3556,-1.6,O(C)c1c(O)cc2[C@@H](Cc3cc(O)c(OC)cc3)[N+@@H](C)CCc2c1,"91,140,147,457,807,844"
3721,4.1,O=C(O[C@@H]1C[N+](C)(C)CCC1)C(O)(c1ccccc1)c1ccccc1,"4,33,64,70,102,114,119,123,175,240,271,276,301,302,324,356,389,392,393,426,575,602,625,650,653,695,721,726,761,769,807,849,884,893,926,993,1019"
7159,50.7,O(C)[C@@H]1[C@H](O)[C@H](C)O[C@@H](O[C@@H]2C[C@@H]3[C@@](C)([C@@H]4C(=O)[C@H](O)[C@@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@H]4CC3)CC2)C1,"33,36,57,63,67,75,82,84,109,119,130,138,157,214,233,245,250,268,285,301,313,314,324,328,336,356,357,368,380,441,453,463,485,493,518,519,528,534,550,562,589,595,609,611,650,656,682,687,695,699,722,745,754,798,804,805,807,823,828,841,849,897,926,927,937,956,964,1008,1019"
4137,4.4,O([C@@H](C(C[C@H]([N+H](C)C)C)(c1ccccc1)c1ccccc1)CC)C(=O)C,"91,140,147,457,807,844"
243,-4.1,[C@H]1([C@H]2C[C@H]3O[C@@H]3CC2)OC1,"10,246,268,301,320,422,553,585,656,787,795,802,897,899,926,935,954,1019,1023"
